,Class ID,Preferred Label,Synonyms,Definitions,Parents
898,http://edamontology.org/data_2209,Mutation ID,,A unique identifier of a specific mutation catalogued in a database.,http://edamontology.org/data_2538|http://edamontology.org/data_2091
903,http://edamontology.org/data_2216,Codon number,,"The number of a codon, for instance, at which a mutation is located.",http://edamontology.org/data_1016
906,http://edamontology.org/data_2219,Database field name,,The name of a field in a database.,http://edamontology.org/data_2099
907,http://edamontology.org/data_2220,Sequence cluster ID (SYSTERS),SYSTERS cluster ID,Unique identifier of a sequence cluster from the SYSTERS database.,http://edamontology.org/data_2091|http://edamontology.org/data_1112
908,http://edamontology.org/data_2223,Ontology metadata,,Data concerning a biological ontology.,http://edamontology.org/data_2337
920,http://edamontology.org/data_2253,Data resource definition name,,The name of a data type.,http://edamontology.org/data_1084|http://edamontology.org/data_2099
921,http://edamontology.org/data_2254,OBO file format name,,"Name of an OBO file format such as OBO-XML, plain and so on.",http://edamontology.org/data_2129
922,http://edamontology.org/data_2285,Gene ID (MIPS),MIPS genetic element identifier,Identifier for genetic elements in MIPS database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
925,http://edamontology.org/data_2290,EMBL accession,EMBL accession number|EMBL identifier|EMBL ID,An accession number of an entry from the EMBL sequence database.,http://edamontology.org/data_1103
926,http://edamontology.org/data_2291,UniProt ID,UniProtKB identifier|UniProt entry name|UniProtKB entry name|UniProt identifier,An identifier of a polypeptide in the UniProt database.,http://edamontology.org/data_2154
927,http://edamontology.org/data_2292,GenBank accession,GenBank accession number|GenBank identifier|GenBank ID,Accession number of an entry from the GenBank sequence database.,http://edamontology.org/data_1103
928,http://edamontology.org/data_2293,Gramene secondary identifier,Gramene internal ID|Gramene internal identifier|Gramene secondary ID,Secondary (internal) identifier of a Gramene database entry.,http://edamontology.org/data_2915
929,http://edamontology.org/data_2294,Sequence variation ID,,An identifier of an entry from a database of molecular sequence variation.,http://edamontology.org/data_0976
930,http://edamontology.org/data_2295,Gene ID,Gene accession|Gene code,"A unique (and typically persistent) identifier of a gene in a database, that is (typically) different to the gene name/symbol.",http://edamontology.org/data_1025|http://edamontology.org/data_1893
932,http://edamontology.org/data_2297,Gene ID (ECK),E. coli K-12 gene identifier|ECK accession,Identifier of an E. coli K-12 gene from EcoGene Database.,http://edamontology.org/data_1795
933,http://edamontology.org/data_2298,Gene ID (HGNC),HGNC ID,Identifier for a gene approved by the HUGO Gene Nomenclature Committee.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
934,http://edamontology.org/data_2299,Gene name,Allele name,"The name of a gene, (typically) assigned by a person and/or according to a naming scheme. It may contain white space characters and is typically more intuitive and readable than a gene symbol. It (typically) may be used to identify similar genes in different species and to derive a gene symbol.",http://edamontology.org/data_1025|http://edamontology.org/data_2099
936,http://edamontology.org/data_2301,SMILES string,,A specification of a chemical structure in SMILES format.,http://edamontology.org/data_0846
937,http://edamontology.org/data_2302,STRING ID,,Unique identifier of an entry from the STRING database of protein-protein interactions.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
940,http://edamontology.org/data_2309,Reaction ID (SABIO-RK),,Identifier of a biological reaction from the SABIO-RK reactions database.,http://edamontology.org/data_2091|http://edamontology.org/data_2108
941,http://edamontology.org/data_2313,Carbohydrate report,,A human-readable collection of information about one or more specific carbohydrate 3D structure(s).,http://edamontology.org/data_2085
942,http://edamontology.org/data_2314,GI number,NCBI GI number,"A series of digits that are assigned consecutively to each sequence record processed by NCBI. The GI number bears no resemblance to the Accession number of the sequence record.|Nucleotide sequence GI number is shown in the VERSION field of the database record. Protein sequence GI number is shown in the CDS/db_xref field of a nucleotide database record, and the VERSION field of a protein database record.",http://edamontology.org/data_2362|http://edamontology.org/data_2091
943,http://edamontology.org/data_2315,NCBI version,NCBI accession.version|accession.version,"An identifier assigned to sequence records processed by NCBI, made of the accession number of the database record followed by a dot and a version number.|Nucleotide sequence version contains two letters followed by six digits, a dot, and a version number (or for older nucleotide sequence records, the format is one letter followed by five digits, a dot, and a version number). Protein sequence version contains three letters followed by five digits, a dot, and a version number.",http://edamontology.org/data_2362|http://edamontology.org/data_2091
944,http://edamontology.org/data_2316,Cell line name,,The name of a cell line.,http://edamontology.org/data_1046
945,http://edamontology.org/data_2317,Cell line name (exact),,The name of a cell line.,http://edamontology.org/data_2316
946,http://edamontology.org/data_2318,Cell line name (truncated),,The name of a cell line.,http://edamontology.org/data_2316
947,http://edamontology.org/data_2319,Cell line name (no punctuation),,The name of a cell line.,http://edamontology.org/data_2316
948,http://edamontology.org/data_2320,Cell line name (assonant),,The name of a cell line.,http://edamontology.org/data_2316
949,http://edamontology.org/data_2321,Enzyme ID,Enzyme accession,"A unique, persistent identifier of an enzyme.",http://edamontology.org/data_1010|http://edamontology.org/data_2907
950,http://edamontology.org/data_2325,REBASE enzyme number,,Identifier of an enzyme from the REBASE enzymes database.,http://edamontology.org/data_2321|http://edamontology.org/data_2091
951,http://edamontology.org/data_2326,DrugBank ID,,Unique identifier of a drug from the DrugBank database.,http://edamontology.org/data_2895|http://edamontology.org/data_2091
952,http://edamontology.org/data_2327,GI number (protein),protein gi|protein gi number,"A unique identifier assigned to NCBI protein sequence records.|Nucleotide sequence GI number is shown in the VERSION field of the database record. Protein sequence GI number is shown in the CDS/db_xref field of a nucleotide database record, and the VERSION field of a protein database record.",http://edamontology.org/data_2314
953,http://edamontology.org/data_2335,Bit score,,"A score derived from the alignment of two sequences, which is then normalised with respect to the scoring system.|Bit scores are normalised with respect to the scoring system and therefore can be used to compare alignment scores from different searches.",http://edamontology.org/data_1413
955,http://edamontology.org/data_2337,Resource metadata,Provenance metadata,"Data concerning or describing some core computational resource, as distinct from primary data.  This includes metadata on the origin, source, history, ownership or location of some thing.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_2048
956,http://edamontology.org/data_2338,Ontology identifier,,Any arbitrary identifier of an ontology.,http://edamontology.org/data_0976
957,http://edamontology.org/data_2339,Ontology concept name,,The name of a concept in an ontology.,http://edamontology.org/data_3025|http://edamontology.org/data_2099
958,http://edamontology.org/data_2340,Genome build identifier,,An identifier of a build of a particular genome.,http://edamontology.org/data_2749
959,http://edamontology.org/data_2342,Pathway or network name,,The name of a biological pathway or network.,http://edamontology.org/data_1082
960,http://edamontology.org/data_2343,Pathway ID (KEGG),KEGG pathway ID,Identifier of a pathway from the KEGG pathway database.,http://edamontology.org/data_2365|http://edamontology.org/data_2091|http://edamontology.org/data_1154
961,http://edamontology.org/data_2344,Pathway ID (NCI-Nature),,Identifier of a pathway from the NCI-Nature pathway database.,http://edamontology.org/data_2365|http://edamontology.org/data_2091
962,http://edamontology.org/data_2345,Pathway ID (ConsensusPathDB),,Identifier of a pathway from the ConsensusPathDB pathway database.,http://edamontology.org/data_2365|http://edamontology.org/data_2917|http://edamontology.org/data_2091
963,http://edamontology.org/data_2346,Sequence cluster ID (UniRef),UniRef entry accession|UniRef cluster id,Unique identifier of an entry from the UniRef database.,http://edamontology.org/data_2091|http://edamontology.org/data_1112
964,http://edamontology.org/data_2347,Sequence cluster ID (UniRef100),UniRef100 cluster id|UniRef100 entry accession,Unique identifier of an entry from the UniRef100 database.,http://edamontology.org/data_2346
965,http://edamontology.org/data_2348,Sequence cluster ID (UniRef90),UniRef90 cluster id|UniRef90 entry accession,Unique identifier of an entry from the UniRef90 database.,http://edamontology.org/data_2346
966,http://edamontology.org/data_2349,Sequence cluster ID (UniRef50),UniRef50 entry accession|UniRef50 cluster id,Unique identifier of an entry from the UniRef50 database.,http://edamontology.org/data_2346
967,http://edamontology.org/data_2353,Ontology data,Ontological data,"Data concerning or derived from an ontology.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_0006
968,http://edamontology.org/data_2354,RNA family report,RNA family annotation,A human-readable collection of information about a specific RNA family or other group of classified RNA sequences.,http://edamontology.org/data_3148
969,http://edamontology.org/data_2355,RNA family identifier,,"Identifier of an RNA family, typically an entry from a RNA sequence classification database.",http://edamontology.org/data_0976
970,http://edamontology.org/data_2356,RFAM accession,,Stable accession number of an entry (RNA family) from the RFAM database.,http://edamontology.org/data_2091|http://edamontology.org/data_2355
975,http://edamontology.org/data_2362,Sequence accession (hybrid),,Accession number of a nucleotide or protein sequence database entry.,http://edamontology.org/data_1093
978,http://edamontology.org/data_2365,Pathway or network accession,,"A persistent, unique identifier of a biological pathway or network (typically a database entry).",http://edamontology.org/data_1082
979,http://edamontology.org/data_2366,Secondary structure alignment,,Alignment of the (1D representations of) secondary structure of two or more molecules.,http://edamontology.org/data_1916
980,http://edamontology.org/data_2367,ASTD ID,,Identifier of an object from the ASTD database.,http://edamontology.org/data_1097|http://edamontology.org/data_2091|http://edamontology.org/data_2109
981,http://edamontology.org/data_2368,ASTD ID (exon),,Identifier of an exon from the ASTD database.,http://edamontology.org/data_2367
982,http://edamontology.org/data_2369,ASTD ID (intron),,Identifier of an intron from the ASTD database.,http://edamontology.org/data_2367
983,http://edamontology.org/data_2370,ASTD ID (polya),,Identifier of a polyA signal from the ASTD database.,http://edamontology.org/data_2367
984,http://edamontology.org/data_2371,ASTD ID (tss),,Identifier of a transcription start site from the ASTD database.,http://edamontology.org/data_2367
986,http://edamontology.org/data_2373,Spot ID,,Unique identifier of a spot from a two-dimensional (protein) gel.,http://edamontology.org/data_0976
987,http://edamontology.org/data_2374,Spot serial number,,Unique identifier of a spot from a two-dimensional (protein) gel in the SWISS-2DPAGE database.,http://edamontology.org/data_2091|http://edamontology.org/data_2373
988,http://edamontology.org/data_2375,Spot ID (HSC-2DPAGE),,Unique identifier of a spot from a two-dimensional (protein) gel from a HSC-2DPAGE database.,http://edamontology.org/data_2091|http://edamontology.org/data_2373
990,http://edamontology.org/data_2379,Strain identifier,,"Identifier of a strain of an organism variant, typically a plant, virus or bacterium.",http://edamontology.org/data_1869
991,http://edamontology.org/data_2380,CABRI accession,,A unique identifier of an item from the CABRI database.,http://edamontology.org/data_2091|http://edamontology.org/data_2109
993,http://edamontology.org/data_2382,Genotype experiment ID,,Identifier of an entry from a database of genotype experiment metadata.,http://edamontology.org/data_0976
994,http://edamontology.org/data_2383,EGA accession,,Identifier of an entry from the EGA database.,http://edamontology.org/data_2091|http://edamontology.org/data_2382
995,http://edamontology.org/data_2384,IPI protein ID,,Identifier of a protein entry catalogued in the International Protein Index (IPI) database.,http://edamontology.org/data_1096|http://edamontology.org/data_2091
996,http://edamontology.org/data_2385,RefSeq accession (protein),RefSeq protein ID,Accession number of a protein from the RefSeq database.,http://edamontology.org/data_1098
997,http://edamontology.org/data_2386,EPD ID,EPD identifier,Identifier of an entry (promoter) from the EPD database.,http://edamontology.org/data_2727|http://edamontology.org/data_2091
998,http://edamontology.org/data_2387,TAIR accession,,Identifier of an entry from the TAIR database.,http://edamontology.org/data_2091|http://edamontology.org/data_2109
999,http://edamontology.org/data_2388,TAIR accession (At gene),,Identifier of an Arabidopsis thaliana gene from the TAIR database.,http://edamontology.org/data_1037
1000,http://edamontology.org/data_2389,UniSTS accession,,Identifier of an entry from the UniSTS database.,http://edamontology.org/data_1097|http://edamontology.org/data_2091
1001,http://edamontology.org/data_2390,UNITE accession,,Identifier of an entry from the UNITE database.,http://edamontology.org/data_1097|http://edamontology.org/data_2091
1002,http://edamontology.org/data_2391,UTR accession,,Identifier of an entry from the UTR database.,http://edamontology.org/data_1097|http://edamontology.org/data_2091
1003,http://edamontology.org/data_2392,UniParc accession,UPI|UniParc ID,Accession number of a UniParc (protein sequence) database entry.,http://edamontology.org/data_1096|http://edamontology.org/data_2091
1004,http://edamontology.org/data_2393,mFLJ/mKIAA number,,Identifier of an entry from the Rouge or HUGE databases.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1007,http://edamontology.org/data_2398,Ensembl protein ID,Protein ID (Ensembl)|Ensembl ID (protein),Unique identifier for a protein from the Ensembl database.,http://edamontology.org/data_2091|http://edamontology.org/data_2610|http://edamontology.org/data_2907
1012,http://edamontology.org/data_2523,Phylogenetic data,,"Data concerning phylogeny, typically of molecular sequences, including reports of information concerning or derived from a phylogenetic tree, or from comparing two or more phylogenetic trees.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_0006
1015,http://edamontology.org/data_2526,Text data,Scientific text data|Article data,"Data concerning, extracted from, or derived from the analysis of a scientific text (or texts) such as a full text article from a scientific journal.|This is a broad data type and is used a placeholder for other, more specific types.  It is primarily intended to help navigation of EDAM and would not typically be used for annotation. It includes concepts that are best described as scientific text or closely concerned with or derived from text.",http://edamontology.org/data_0006
1019,http://edamontology.org/data_2530,Organism report,Organism annotation,A human-readable collection of information about a specific organism.,http://edamontology.org/data_2048
1020,http://edamontology.org/data_2531,Protocol,Experiment metadata|Experiment annotation|Experiment report,A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.,http://edamontology.org/data_2048
1021,http://edamontology.org/data_2534,Sequence attribute,Sequence parameter,"An attribute of a molecular sequence, possibly in reference to some other sequence.",http://edamontology.org/data_0006
1022,http://edamontology.org/data_2535,Sequence tag profile,Sequencing-based expression profile|Sequence tag profile (with gene assignment),"Output from a serial analysis of gene expression (SAGE), massively parallel signature sequencing (MPSS) or sequencing by synthesis (SBS) experiment.  In all cases this is a list of short sequence tags and the number of times it is observed.|This includes tag to gene assignments (tag mapping) of SAGE, MPSS and SBS data. Typically this is the sequencing-based expression profile annotated with gene identifiers.|SAGE, MPSS and SBS experiments are usually performed to study gene expression.  The sequence tags are typically subsequently annotated (after a database search) with the mRNA (and therefore gene) the tag was extracted from.",http://edamontology.org/data_0928
1023,http://edamontology.org/data_2536,Mass spectrometry data,,Data concerning a mass spectrometry measurement.,http://edamontology.org/data_3108
1024,http://edamontology.org/data_2537,Protein structure raw data,,"Raw data from experimental methods for determining protein structure.|This is a broad data type and is used a placeholder for other, more specific types.  It is primarily intended to help navigation of EDAM and would not typically be used for annotation.",http://edamontology.org/data_3108
1025,http://edamontology.org/data_2538,Mutation identifier,,An identifier of a mutation.,http://edamontology.org/data_0976
1028,http://edamontology.org/data_2563,Amino acid name (single letter),,"Single letter amino acid identifier, e.g. G.",http://edamontology.org/data_1006
1029,http://edamontology.org/data_2564,Amino acid name (three letter),,"Three letter amino acid identifier, e.g. GLY.",http://edamontology.org/data_1006
1030,http://edamontology.org/data_2565,Amino acid name (full name),,"Full name of an amino acid, e.g. Glycine.",http://edamontology.org/data_1006
1031,http://edamontology.org/data_2576,Toxin identifier,,Identifier of a toxin.,http://edamontology.org/data_1086
1032,http://edamontology.org/data_2578,ArachnoServer ID,,Unique identifier of a toxin from the ArachnoServer database.,http://edamontology.org/data_2091|http://edamontology.org/data_2897
1034,http://edamontology.org/data_2580,BindingDB Monomer ID,,Unique identifier of a monomer from the BindingDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2894
1036,http://edamontology.org/data_2582,GO concept ID (biological process),,An identifier of a 'biological process' concept from the the Gene Ontology.,http://edamontology.org/data_1176
1037,http://edamontology.org/data_2583,GO concept ID (molecular function),,An identifier of a 'molecular function' concept from the the Gene Ontology.,http://edamontology.org/data_1176
1039,http://edamontology.org/data_2586,Northern blot image,,An image arising from a Northern Blot experiment.,http://edamontology.org/data_3424
1040,http://edamontology.org/data_2587,Blot ID,,Unique identifier of a blot from a Northern Blot.,http://edamontology.org/data_0976
1041,http://edamontology.org/data_2588,BlotBase blot ID,,Unique identifier of a blot from a Northern Blot from the BlotBase database.,http://edamontology.org/data_2091|http://edamontology.org/data_2587
1042,http://edamontology.org/data_2589,Hierarchy,Hierarchy annotation,"Raw data on a biological hierarchy, describing the hierarchy proper, hierarchy components and possibly associated annotation.",http://edamontology.org/data_0006
1044,http://edamontology.org/data_2591,Brite hierarchy ID,,Identifier of an entry from the Brite database of biological hierarchies.,http://edamontology.org/data_2891|http://edamontology.org/data_2091
1046,http://edamontology.org/data_2593,BRENDA organism ID,,A unique identifier for an organism used in the BRENDA database.,http://edamontology.org/data_2908|http://edamontology.org/data_2091
1047,http://edamontology.org/data_2594,UniGene taxon,UniGene organism abbreviation,The name of a taxon using the controlled vocabulary of the UniGene database.,http://edamontology.org/data_1868
1048,http://edamontology.org/data_2595,UTRdb taxon,,The name of a taxon using the controlled vocabulary of the UTRdb database.,http://edamontology.org/data_1868
1049,http://edamontology.org/data_2596,Catalogue ID,Catalogue identifier,An identifier of a catalogue of biological resources.,http://edamontology.org/data_0976
1050,http://edamontology.org/data_2597,CABRI catalogue name,,The name of a catalogue of biological resources from the CABRI database.,http://edamontology.org/data_2596|http://edamontology.org/data_2099
1053,http://edamontology.org/data_2600,Pathway or network,Network|Pathway,Primary data about a specific biological pathway or network (the nodes and connections within the pathway or network).,http://edamontology.org/data_0006
1056,http://edamontology.org/data_2603,Expression data,Non-coding RNA quantification data|Transcriptome profile|Gene product quantification data|mRNA quantification data|Non-coding RNA profile|mRNA profile|Transcriptome quantification data|Metabolite expression data|RNA quantification data|Microarray data|RNA-seq data|Gene expression data|Gene product profile|Gene transcription quantification data|Protein expression data|Gene transcription profile|RNA profile|Proteome profile|Protein profile|Protein quantification data|Proteome quantification data,"Image, hybridisation or some other data arising from a study of feature/molecule expression, typically profiling or quantification.",http://edamontology.org/data_0006
1057,http://edamontology.org/data_2605,Compound ID (KEGG),KEGG compound ID|KEGG compound identifier,Unique identifier of a chemical compound from the KEGG database.,http://edamontology.org/data_1154|http://edamontology.org/data_2894
1058,http://edamontology.org/data_2606,RFAM name,,Name (not necessarily stable) an entry (RNA family) from the RFAM database.,http://edamontology.org/data_2355|http://edamontology.org/data_2099
1059,http://edamontology.org/data_2608,Reaction ID (KEGG),,Identifier of a biological reaction from the KEGG reactions database.,http://edamontology.org/data_1154|http://edamontology.org/data_2108
1060,http://edamontology.org/data_2609,Drug ID (KEGG),,Unique identifier of a drug from the KEGG Drug database.,http://edamontology.org/data_2895|http://edamontology.org/data_2091|http://edamontology.org/data_1154
1061,http://edamontology.org/data_2610,Ensembl ID,Ensembl IDs,"Identifier of an entry (exon, gene, transcript or protein) from the Ensembl database.",http://edamontology.org/data_2091|http://edamontology.org/data_2109
1062,http://edamontology.org/data_2611,ICD identifier,,An identifier of a disease from the International Classification of Diseases (ICD) database.,http://edamontology.org/data_1150|http://edamontology.org/data_2091
1063,http://edamontology.org/data_2612,Sequence cluster ID (CluSTr),CluSTr ID|CluSTr cluster ID,Unique identifier of a sequence cluster from the CluSTr database.,http://edamontology.org/data_2091|http://edamontology.org/data_1112
1064,http://edamontology.org/data_2613,KEGG Glycan ID,,Unique identifier of a glycan ligand from the KEGG GLYCAN database (a subset of KEGG LIGAND).,http://edamontology.org/data_2900|http://edamontology.org/data_2091|http://edamontology.org/data_1154
1065,http://edamontology.org/data_2614,TCDB ID,TC number,A unique identifier of a family from the transport classification database (TCDB) of membrane transport proteins.|OBO file for regular expression.,http://edamontology.org/data_2091|http://edamontology.org/data_2910
1066,http://edamontology.org/data_2615,MINT ID,,Unique identifier of an entry from the MINT database of protein-protein interactions.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
1067,http://edamontology.org/data_2616,DIP ID,,Unique identifier of an entry from the DIP database of protein-protein interactions.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
1068,http://edamontology.org/data_2617,Signaling Gateway protein ID,,Unique identifier of a protein listed in the UCSD-Nature Signaling Gateway Molecule Pages database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1069,http://edamontology.org/data_2618,Protein modification ID,,Identifier of a protein modification catalogued in a database.,http://edamontology.org/data_0976
1070,http://edamontology.org/data_2619,RESID ID,,Identifier of a protein modification catalogued in the RESID database.,http://edamontology.org/data_2618|http://edamontology.org/data_2091
1071,http://edamontology.org/data_2620,RGD ID,,Identifier of an entry from the RGD database.,http://edamontology.org/data_2091|http://edamontology.org/data_2109
1072,http://edamontology.org/data_2621,TAIR accession (protein),,Identifier of a protein sequence from the TAIR database.,http://edamontology.org/data_1096|http://edamontology.org/data_2387
1073,http://edamontology.org/data_2622,Compound ID (HMDB),HMDB ID,Identifier of a small molecule metabolite from the Human Metabolome Database (HMDB).,http://edamontology.org/data_2091|http://edamontology.org/data_2894
1074,http://edamontology.org/data_2625,LIPID MAPS ID,LM ID,Identifier of an entry from the LIPID MAPS database.,http://edamontology.org/data_2091|http://edamontology.org/data_2905
1075,http://edamontology.org/data_2626,PeptideAtlas ID,,Identifier of a peptide from the PeptideAtlas peptide databases.,http://edamontology.org/data_2091|http://edamontology.org/data_2906
1077,http://edamontology.org/data_2628,BioGRID interaction ID,,A unique identifier of an interaction from the BioGRID database.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
1078,http://edamontology.org/data_2629,Enzyme ID (MEROPS),MEROPS ID,Unique identifier of a peptidase enzyme from the MEROPS database.,http://edamontology.org/data_2321|http://edamontology.org/data_2091
1079,http://edamontology.org/data_2630,Mobile genetic element ID,,An identifier of a mobile genetic element.,http://edamontology.org/data_0976
1080,http://edamontology.org/data_2631,ACLAME ID,,An identifier of a mobile genetic element from the Aclame database.,http://edamontology.org/data_2630|http://edamontology.org/data_2091
1081,http://edamontology.org/data_2632,SGD ID,,Identifier of an entry from the Saccharomyces genome database (SGD).,http://edamontology.org/data_2091|http://edamontology.org/data_2109
1082,http://edamontology.org/data_2633,Book ID,,Unique identifier of a book.,http://edamontology.org/data_0976
1083,http://edamontology.org/data_2634,ISBN,,The International Standard Book Number (ISBN) is for identifying printed books.,http://edamontology.org/data_2091|http://edamontology.org/data_2633
1084,http://edamontology.org/data_2635,Compound ID (3DMET),3DMET ID,Identifier of a metabolite from the 3DMET database.,http://edamontology.org/data_2091|http://edamontology.org/data_2894
1085,http://edamontology.org/data_2636,MatrixDB interaction ID,,A unique identifier of an interaction from the MatrixDB database.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
1086,http://edamontology.org/data_2637,cPath ID,,"A unique identifier for pathways, reactions, complexes and small molecules from the cPath (Pathway Commons) database.|These identifiers are unique within the cPath database, however, they are not stable between releases.",http://edamontology.org/data_2365|http://edamontology.org/data_2091|http://edamontology.org/data_2109
1087,http://edamontology.org/data_2638,PubChem bioassay ID,,Identifier of an assay from the PubChem database.,http://edamontology.org/data_0976|http://edamontology.org/data_2639
1088,http://edamontology.org/data_2639,PubChem ID,PubChem identifier,Identifier of an entry from the PubChem database.,http://edamontology.org/data_2091|http://edamontology.org/data_2109
1089,http://edamontology.org/data_2641,Reaction ID (MACie),MACie entry number,Identifier of an enzyme reaction mechanism from the MACie database.,http://edamontology.org/data_2091|http://edamontology.org/data_2108
1090,http://edamontology.org/data_2642,Gene ID (miRBase),miRNA name|miRNA ID|miRNA identifier,Identifier for a gene from the miRBase database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1091,http://edamontology.org/data_2643,Gene ID (ZFIN),,Identifier for a gene from the Zebrafish information network genome (ZFIN) database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1092,http://edamontology.org/data_2644,Reaction ID (Rhea),,Identifier of an enzyme-catalysed reaction from the Rhea database.,http://edamontology.org/data_2091|http://edamontology.org/data_2108
1093,http://edamontology.org/data_2645,Pathway ID (Unipathway),upaid,Identifier of a biological pathway from the Unipathway database.,http://edamontology.org/data_2365|http://edamontology.org/data_2091
1094,http://edamontology.org/data_2646,Compound ID (ChEMBL),ChEMBL ID,Identifier of a small molecular from the ChEMBL database.,http://edamontology.org/data_2091|http://edamontology.org/data_2894
1095,http://edamontology.org/data_2647,LGICdb identifier,,Unique identifier of an entry from the Ligand-gated ion channel (LGICdb) database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1096,http://edamontology.org/data_2648,Reaction kinetics ID (SABIO-RK),,Identifier of a biological reaction (kinetics entry) from the SABIO-RK reactions database.,http://edamontology.org/data_2309
1097,http://edamontology.org/data_2649,PharmGKB ID,,Identifier of an entry from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).,http://edamontology.org/data_2091|http://edamontology.org/data_2109
1098,http://edamontology.org/data_2650,Pathway ID (PharmGKB),,Identifier of a pathway from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).,http://edamontology.org/data_2365|http://edamontology.org/data_2649|http://edamontology.org/data_2091
1099,http://edamontology.org/data_2651,Disease ID (PharmGKB),,Identifier of a disease from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).,http://edamontology.org/data_2649|http://edamontology.org/data_1150|http://edamontology.org/data_2091
1100,http://edamontology.org/data_2652,Drug ID (PharmGKB),,Identifier of a drug from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).,http://edamontology.org/data_2895|http://edamontology.org/data_2649|http://edamontology.org/data_2091
1101,http://edamontology.org/data_2653,Drug ID (TTD),,Identifier of a drug from the Therapeutic Target Database (TTD).,http://edamontology.org/data_2895|http://edamontology.org/data_2091
1102,http://edamontology.org/data_2654,Target ID (TTD),,Identifier of a target protein from the Therapeutic Target Database (TTD).,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1103,http://edamontology.org/data_2655,Cell type identifier,,A unique identifier of a type or group of cells.,http://edamontology.org/data_0976
1104,http://edamontology.org/data_2656,NeuronDB ID,,A unique identifier of a neuron from the NeuronDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2893
1105,http://edamontology.org/data_2657,NeuroMorpho ID,,A unique identifier of a neuron from the NeuroMorpho database.,http://edamontology.org/data_2091|http://edamontology.org/data_2893
1106,http://edamontology.org/data_2658,Compound ID (ChemIDplus),ChemIDplus ID,Identifier of a chemical from the ChemIDplus database.,http://edamontology.org/data_2091|http://edamontology.org/data_2894
1107,http://edamontology.org/data_2659,Pathway ID (SMPDB),,Identifier of a pathway from the Small Molecule Pathway Database (SMPDB).,http://edamontology.org/data_2365|http://edamontology.org/data_2091
1108,http://edamontology.org/data_2660,BioNumbers ID,,Identifier of an entry from the BioNumbers database of key numbers and associated data in molecular biology.,http://edamontology.org/data_2091
1109,http://edamontology.org/data_2662,T3DB ID,,Unique identifier of a toxin from the Toxin and Toxin Target Database (T3DB) database.,http://edamontology.org/data_2091|http://edamontology.org/data_2897
1110,http://edamontology.org/data_2663,Carbohydrate identifier,,Identifier of a carbohydrate.,http://edamontology.org/data_1086
1111,http://edamontology.org/data_2664,GlycomeDB ID,,Identifier of an entry from the GlycomeDB database.,http://edamontology.org/data_2900|http://edamontology.org/data_2091
1112,http://edamontology.org/data_2665,LipidBank ID,,Identifier of an entry from the LipidBank database.,http://edamontology.org/data_2091|http://edamontology.org/data_2905
1113,http://edamontology.org/data_2666,CDD ID,,Identifier of a conserved domain from the Conserved Domain Database.,http://edamontology.org/data_2091|http://edamontology.org/data_1038
1114,http://edamontology.org/data_2667,MMDB ID,MMDB accession,An identifier of an entry from the MMDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_1070
1115,http://edamontology.org/data_2668,iRefIndex ID,,Unique identifier of an entry from the iRefIndex database of protein-protein interactions.,http://edamontology.org/data_1074|http://edamontology.org/data_2091
1116,http://edamontology.org/data_2669,ModelDB ID,,Unique identifier of an entry from the ModelDB database.,http://edamontology.org/data_2891|http://edamontology.org/data_2091
1117,http://edamontology.org/data_2670,Pathway ID (DQCS),,Identifier of a signaling pathway from the Database of Quantitative Cellular Signaling (DQCS).,http://edamontology.org/data_2365|http://edamontology.org/data_2091
1147,http://edamontology.org/data_2700,CATH identifier,,Identifier of a protein domain (or other node) from the CATH database.,http://edamontology.org/data_2091|http://edamontology.org/data_1038
1148,http://edamontology.org/data_2701,CATH node ID (family),,A code number identifying a family from the CATH database.,http://edamontology.org/data_1043
1149,http://edamontology.org/data_2702,Enzyme ID (CAZy),CAZy ID,Identifier of an enzyme from the CAZy enzymes database.,http://edamontology.org/data_2321|http://edamontology.org/data_2091
